ID1;Diam;Err;RA_d;DEC_d
HD183589               ; 1.02900e+00; 1.30000e-02;292.54390;+02.90407
HD186021               ; 1.02600e+00; 1.90000e-02;295.31104;+22.45277
HD187238               ; 1.02800e+00; 1.10000e-02;297.04933;+22.76287
HD193469               ; 1.02900e+00; 1.20000e-02;304.73974;+39.00418
HD194093               ; 1.01800e+00; 8.00000e-03;305.55709;+40.25668
HD196725               ; 1.02800e+00; 1.90000e-02;309.68328;+13.31513
HD197345               ; 1.01700e+00; 1.10000e-02;310.35798;+45.28034
HD200576               ; 1.02900e+00; 4.50000e-02;315.64628;+48.03069
HD205349               ; 1.02000e+00; 1.90000e-02;323.32452;+45.85401
HD206859               ; 1.02100e+00; 2.80000e-02;326.12790;+17.35002
HD207119               ; 1.02800e+00; 1.80000e-02;326.30166;+52.26757
HD207991               ; 1.02900e+00; 2.60000e-02;327.98076;+48.43711
HD213306               ; 1.01800e+00; 7.00000e-03;337.29274;+58.41519
HD216946               ; 1.02900e+00; 6.00000e-03;344.10833;+49.73354
HD217476               ; 1.01700e+00; 3.10000e-02;345.02125;+56.94537
HD224014               ; 1.02000e+00; 3.70000e-02;358.59597;+57.49938
HD236697               ; 1.02900e+00; 4.20000e-02;019.97341;+58.30854
HD236915               ; 1.03000e+00; 9.20000e-02;029.62046;+59.26911
HD236947               ; 1.03000e+00; 6.50000e-02;031.80022;+58.78775
HD236979               ; 1.03000e+00; 4.10000e-02;039.60592;+57.04617
HD1613                 ; 1.02900e+00; 2.60000e-02;005.18151;+61.87959
HD3147                 ; 1.02500e+00; 3.70000e-02;008.90488;+67.92596
HD3489                 ; 1.02900e+00; 5.70000e-02;009.63934;+60.32478
HD8701                 ; 1.02100e+00; 6.40000e-02;021.90714;+66.07697
HD13725                ; 1.02500e+00; 7.50000e-02;034.17404;+67.28391
HD20123                ; 1.02100e+00; 1.37000e-01;049.05085;+50.93766
HD22135                ; 1.02600e+00; 1.59000e-01;054.10908;+52.93140
HD28487                ; 1.03000e+00; 4.20000e-02;067.41226;+05.16427
HD29094                ; 1.02100e+00; 1.20000e-02;069.17263;+41.26481
HD30504                ; 1.02800e+00; 1.30000e-02;072.47766;+37.48828
HD31767                ; 1.02500e+00; 5.30000e-02;074.63709;+01.71402
HD39225                ; 1.02900e+00; 3.20000e-02;088.16705;+33.91746
HD77912                ; 1.02000e+00; 1.30000e-02;136.63237;+38.45222
HD84441                ; 1.01700e+00; 1.50000e-02;146.46281;+23.77426
HD159968               ; 1.02800e+00; 4.00000e-03;264.08925;+27.56664
HD163770               ; 1.02500e+00; 3.00000e-03;269.06325;+37.25054
HD180809               ; 1.02500e+00; 8.00000e-03;289.09206;+38.13373
HD181475               ; 1.02800e+00; 4.70000e-02;290.20130;-04.50250
HD185758               ; 1.01800e+00; 2.10000e-02;295.02413;+18.01389
HD185958               ; 1.02100e+00; 1.20000e-02;295.26225;+17.47604
HD191226               ; 1.02500e+00; 1.50000e-02;301.86056;+36.56777
HD193092               ; 1.02800e+00; 1.80000e-02;304.23036;+40.36507
HD193217               ; 1.02900e+00; 1.04000e-01;304.37107;+42.72206
HD196819               ; 1.02600e+00; 1.08000e-01;309.57155;+42.07368
HD199098               ; 1.01900e+00; 1.14000e-01;313.32737;+45.18168
HD213179               ; 1.02800e+00; 3.70000e-02;337.29261;+26.76320
HD217673               ; 1.02300e+00; 5.30000e-02;345.37798;+57.10546
HD218356               ; 1.02800e+00; 8.00000e-03;346.77808;+25.46826
HD220369               ; 1.02500e+00; 3.00000e-02;350.63555;+60.13348
HD223173               ; 1.02800e+00; 2.90000e-02;356.75799;+57.45136
HD223332               ; 1.02800e+00; 2.20000e-02;357.14598;+28.37103
HD334750               ; 1.03000e+00; 3.60000e-02;308.63765;+28.28093
HD32518                ; 8.51000e-01; 2.20000e-02;077.40300;+69.63940
HD60294                ; 1.04400e+00; 1.00000e-02;114.19598;+55.75506
HD73108                ; 2.22500e+00; 1.90000e-02;130.05342;+64.32794
HD102328               ; 1.60600e+00; 6.00000e-03;176.73176;+55.62819
HD103605               ; 1.09800e+00; 9.00000e-03;178.99340;+56.59856
HD106574               ; 1.49800e+00; 2.70000e-02;183.78539;+70.20001
HD113049               ; 9.71000e-01; 2.10000e-02;194.69730;+75.47251
HD118904               ; 1.87100e+00; 3.10000e-02;204.29579;+71.24225
HD136726               ; 2.33600e+00; 2.00000e-02;229.27455;+71.82390
HD137443               ; 1.69000e+00; 3.00000e-02;230.66004;+63.34146
HD138265               ; 2.06200e+00; 3.70000e-02;231.96427;+60.67022
