angDist,_RAJ2000,_DEJ2000,recno,Tycho,more,Name,Dist,chi2,Av,Fbol,Theta*,R*,rho*,M*,Rp,Mp,GaiaDR1,Simbad,_RA,_DE,_RAJ2000_2,_DEJ2000_2,HIP,RAJ2000,DEJ2000,D,dplx,AV,Teff,L,Rad,log(g),T(AV),L(Av),T(ABJ),L(ABJ),Q,X(MIR),X'(MIR),S(MIR),Rmax,L(XS),f(XS),l(XS),G/H,F(U),F(u),F(BT),F(B),F(g),F(Hp),F(VT),F(V),F(r),F(i),F(I),F(z),F(J),F(H),F(Ks),F(W1),F(L),F(W2),F(MA),F(A9),F(W3),F(I12),F(MC),F(MD),F(A18),F(ME),F(W4),F(I25),Gaia
0.013093,300.9058556,29.8968025,126,2153-2883-1,*,HD 190360 b,16.03,2.16,0.0,1.4E-7,330.73,1.14,,0.99,,1.54,1,Simbad,300.90586,29.8968,300.90585611,29.89680611,98767,300.905856,29.896806,16.031,0.009,24.546,5491,1.137,1.18,4.301,18546,50.873,0,0.0,0.045,1.004,0.0,0.255,1.076,0.0,0.0,0.0,G,,,8539.389,,,16703.196,17819.821,,,,,,,,,,,,1453.002,,,,712.601,621.301,,,,,Gaia
0.009087,5.1313292,30.9748064,128,2261-371-1,*,HD 1605 b,89.71,2.61,0.0,3.5E-8,224.7,4.33,,1.72,,1.16,1,Simbad,5.13133,30.97481,5.13132889,30.97480389,1640,5.131329,30.974804,89.709,0.023,0.732,4834,7.979,4.033,3.196,4896,8.32,0,0.0,0.025,1.029,1.037,2.329,1.049,2.0E-4,2.2E-5,5.8,G,,,1167.957,,,3155.002,3318.206,,,,,,7285.986,7249.365,5189.559,2572.271,,,,463.502,275.615,,,,,,70.075,,Gaia
0.006628,14.5592483,33.9508853,130,2285-553-1,*,HD 5608 b,58.36,3.71,0.0,1.3E-7,405.85,5.09,,1.98,,1.65,1,Simbad,14.55925,33.95089,14.55924611,33.950885,4552,14.559246,33.950885,58.361,0.019,0.588,4895,13.301,5.078,2.99,4990,13.945,0,0.0,0.058,1.046,1.086,1.932,1.132,0.0022,1.64E-4,3.9,G,,,4877.831,,,12876.552,13743.689,14717.155,,,,,25780.321,28727.64,19657.598,,,,,1902.003,1065.376,,,,411.5,,294.552,,Gaia
0.012974,32.417385,32.3164336,131,2313-437-1,*,HD 13189 b,476.86,5.86,0.29,5.7E-8,374.71,38.41,,2.24,,10.95,1,Simbad,32.41738,32.31643,32.41738194,32.31643611,10085,32.417382,32.316436,476.856,0.109,0.519,4002,394.327,41.365,1.192,4027,402.094,0,0.0,0.067,1.021,1.017,1.135,1.122,0.0286,7.2E-5,5.8,G,,,620.336,,,3126.652,3040.208,3349.839,4725.266,,8863.929,,13380.992,19102.929,16793.084,8224.638,,,,1490.003,855.663,,,,359.999,,237.882,,Gaia
0.004099,55.2063556,31.82629,133,2355-246-1,*,HD 22781 b,,2.03,0.0,1.0E-8,108.86,,,,,,1,Simbad,55.20636,31.82629,55.20635694,31.82629,17187,55.206357,31.82629,31.413,0.017,27.136,4990,0.31,0.746,4.581,13673,7.494,0,0.0,0.058,1.081,1.097,3.013,1.295,0.0,3.1E-5,8.6,G,,,456.065,,,1009.438,1072.762,,,,,,2202.36,2167.205,1517.506,728.982,,391.372,139.903,167.2,72.361,,,,,,,,Gaia
0.007815,78.2955375,33.3181667,134,2393-852-1,*,KELT-7 b,138.09,0.91,0.08,1.0E-8,60.95,1.81,0.42,1.76,1.6,1.39,1,Simbad,78.29554,33.31817,78.295535,33.31816611,24323,78.295535,33.318166,138.091,0.036,6.387,6595,5.668,1.826,4.034,7973,10.415,0,0.0,0.029,0.999,0.999,0.0,1.118,0.0,0.0,11.6,G,,468.901,918.389,1049.172,,1295.984,1353.017,1395.16,,,,,1279.052,951.262,640.812,310.682,,167.877,,,30.982,,,,,,,,Gaia
0.037107,92.6639392,30.9571425,135,2420-899-1,*,KELT-2 A b,133.92,1.38,0.08,9.6E-9,66.91,1.93,0.3,1.54,1.35,1.7,1,Simbad,92.66394,30.95714,92.66395111,30.95714389,29301,92.663951,30.957144,133.922,0.045,8.303,6167,5.167,1.994,3.905,7758,10.826,0,0.0,0.055,0.983,0.976,0.0,1.211,0.0,0.0,4.6,G,,,728.16,,1275.341,1156.431,1164.403,1286.542,1471.046,,1641.445,,1364.232,1105.35,768.299,382.928,,199.982,,,35.539,,,,,,,,Gaia
0.013596,121.9156494,31.5513164,138,2469-686-1,*,HD 67087 b,76.92,0.64,0.0,1.6E-8,85.57,1.41,,2.31,,,1,Simbad,121.91565,31.55132,121.91564806,31.55132,39767,121.915648,31.55132,76.918,0.021,0.292,6136,2.681,1.451,4.184,6251,2.829,0,0.0,0.085,1.056,1.047,1.296,1.235,1.0E-4,2.8E-5,8.5,G,,,1357.147,,,2038.917,2156.271,1878.555,1850.232,,2637.705,,2308.279,1771.332,1195.447,589.816,,315.203,,124.0,56.273,,,,,,,,Gaia
0.005355,133.4616892,33.0568108,139,2488-663-1,*,HD 75898 b,76.86,1.6,0.0,1.6E-8,94.08,1.55,,1.43,,2.7,1,Simbad,133.46169,33.05681,133.46168806,33.05681194,43674,133.461688,33.056812,76.862,0.021,0.186,5636,2.785,1.753,3.933,5655,2.821,0,0.0,0.136,0.998,1.07,0.0,1.204,0.0,0.0,8.6,G,287.625,,1184.205,,,2028.241,2154.286,,2509.726,,,,2707.0,2065.856,1442.549,701.967,,389.933,,153.999,67.843,,,,,,,,Gaia
0.011387,143.9382669,34.7807417,141,2497-418-1,*,HD 82886 b,127.97,0.63,0.0,2.9E-8,191.12,5.26,,2.53,,2.33,1,Simbad,143.93827,34.78074,143.93826306,34.78074194,47087,143.938263,34.780742,127.97,0.033,0.07,4956,13.753,5.037,3.021,4883,13.698,0,0.0,0.079,1.035,1.039,0.924,1.165,6.0E-4,4.2E-5,5.9,G,,,1293.68,,1846.827,2894.407,3065.514,,3215.335,,4172.787,,6375.119,6096.772,4396.737,1924.495,,,,381.198,206.207,,,,,,57.064,,Gaia
0.006452,152.17975,34.2422592,142,2506-894-1,*,HD 87883 b,18.09,2.05,0.0,3.2E-8,202.24,0.79,,0.66,,1.54,1,Simbad,152.17975,34.24226,152.17974806,34.24226,49699,152.179748,34.24226,18.091,0.004,0.073,4925,0.319,0.777,4.537,4771,0.309,0,0.0,0.035,1.017,1.018,0.551,1.068,0.0,7.0E-6,5.9,G,,,1190.767,,,3097.131,3245.662,,,,,,7360.178,6821.815,4992.642,2215.73,,,,422.399,238.728,,,,,,65.7,,Gaia
0.013023,176.170685,30.9592914,143,2524-2128-1,*,HIP 57274 b,26.12,1.65,0.0,1.1E-8,138.74,0.78,,0.29,,0.02,1,Simbad,176.17068,30.95929,176.17068806,30.95929389,57274,176.170688,30.959294,26.124,0.007,0.12,4537,0.225,0.769,4.572,4630,0.218,0,0.0,0.048,0.952,0.918,0.0,1.027,0.0,0.0,0.0,G,,,267.563,,432.54,862.183,854.483,947.597,,,1860.485,,,,,,,,166.397,,,,,,,,,,Gaia
0.002122,240.2610906,33.3035092,146,2576-2228-1,*,rho CrB b,,7.0,0.0,1.9E-7,354.1,,,,,,0,Simbad,240.26109,33.30351,240.26109,33.30350889,78459,240.26109,33.303509,17.235,0.005,0.247,5676,1.767,1.376,4.13,5803,1.84,0,0.0,0.094,0.0,0.0,0.0,1.264,0.0,0.0,0.0,H,,,13926.012,,,23118.496,24372.683,24764.176,,,,,36922.263,25983.638,19104.27,,10999.976,,,,,,,,,,,,Gaia
0.008749,237.8080469,35.6573797,147,2578-1609-1,*,kappa CrB b,,2.53,0.0,4.0E-7,743.27,,,,,,0,Simbad,237.80805,35.65738,237.80804806,35.65738194,77655,237.808048,35.657382,30.497,0.006,0.168,4826,12.188,5.001,3.027,4815,12.467,0,0.0,0.056,0.935,0.925,0.0,1.1,0.0,0.0,0.0,H,,,14649.634,,,38922.397,40935.805,43233.846,,68334.158,,,97384.159,95565.24,71569.907,,,,,5798.013,,,,,1396.0,,,,Gaia
0.061324,287.2629125,34.59985,152,2648-2151-1,*,HD 178911 B b,41.51,5.01,0.0,1.9E-8,121.55,1.08,,1.24,,8.03,1,Simbad,287.26291,34.59985,287.26293306,34.59984806,94075,287.262933,34.599848,41.514,0.009,0.647,6132,0.853,0.82,4.65,5497,1.028,0,0.0,0.118,0.0,0.0,0.0,1.219,0.0,0.0,0.0,G,,,1278.282,,,1813.007,2657.684,2054.111,,,,,,,,,,,,,,,,,,,,,Gaia
0.006022,280.9004558,36.5566064,153,2649-1153-1,*,HD 173416 b,,1.12,0.04,1.3E-7,438.75,,,,,,0,Simbad,280.90046,36.55661,280.90045694,36.556605,91852,280.900457,36.556605,139.47,0.039,0.63,4790,72.396,12.372,2.226,4897,76.451,0,0.0,0.103,1.093,1.151,2.557,1.219,0.0095,1.32E-4,5.7,H,,,4391.64,,,12281.165,12992.817,14276.57,,,,,23468.661,27459.964,19876.067,11115.187,,,,2090.004,1108.416,,,,475.902,,325.658,,Gaia
0.002883,288.7092031,31.8603508,155,2653-91-1,*,HD 180314 b,121.37,2.34,0.04,7.6E-8,311.74,8.13,,2.2,,20.13,1,Simbad,288.7092,31.86035,288.70920306,31.86035,94576,288.709203,31.86035,121.367,0.034,1.27,4845,34.23,8.315,2.565,4954,36.828,0,0.0,0.033,1.003,1.002,0.061,1.055,4.0E-4,1.3E-5,5.9,G,,,2725.378,,,7312.731,7707.319,,,,,,17607.12,16394.567,12564.073,5753.297,,,,1079.004,603.536,,,,271.2,,164.12,,Gaia
