angDist,_RAJ2000,_DEJ2000,recno,Tycho,more,Name,Dist,chi2,Av,Fbol,Theta*,R*,rho*,M*,Rp,Mp,GaiaDR1,Simbad,_RA,_DE,2MASS,RAJ2000,DEJ2000,errHalfMaj,errHalfMin,errPosAng,Jmag,Hmag,Kmag,e_Jmag,e_Hmag,e_Kmag,Qfl,Rfl,X,MeasureJD
0.030309,292.1023825,8.3580564,52,1055-3415-1,*,HD 183263 b,54.01,1.02,0.0,1.9E-8,106.1,1.23,,1.31,,3.95,1,Simbad,292.10238,8.35806,19282457+0821290,292.102391,+8.358056,0.070,0.060,90,6.782,6.528,6.422,0.024,0.036,0.018,AAA,111,0,2451399.6460
0.237999,298.5620078,8.4614528,53,1058-3400-1,*,xi Aql b,,3.25,0.0,4.4E-7,803.61,,,,,,0,Simbad,298.56201,8.46145,19541489+0827414,298.562043,+8.461509,0.290,0.290,0,2.852,2.367,2.171,0.220,0.174,0.220,DCD,333,0,2451749.8803
0.176642,309.9661481,11.2496514,54,1092-1778-1,*,HD 196885 b,,1.06,0.0,7.4E-8,188.91,,,,,,0,Simbad,309.96615,11.24965,20395188+1114588,309.966188,+11.249681,0.090,0.070,0,5.414,5.190,5.072,0.027,0.023,0.018,EAA,111,0,2451672.8741
0.151733,314.6080583,10.8392858,55,1107-2709-1,*,18 Del b,,1.12,0.0,1.9E-7,471.86,,,,,,0,Simbad,314.60806,10.83929,20582594+1050214,314.608101,+10.839290,0.290,0.290,0,4.032,3.440,3.366,0.236,0.186,0.204,DCC,333,0,2451727.7669
0.132040,318.3999592,14.6893839,56,1117-615-1,*,BD +14 4559 b,49.74,0.71,0.0,4.8E-9,80.39,0.86,,0.49,,1.04,1,Simbad,318.39996,14.68938,21133598+1441218,318.399922,+14.689391,0.070,0.060,0,7.882,7.455,7.336,0.029,0.018,0.023,AAA,111,0,2451324.9626
0.202782,351.6143533,8.643845,57,1162-750-1,*,HD 220773 b,49.93,0.67,0.0,3.9E-8,153.61,1.65,,1.8,,,1,Simbad,351.61435,8.64384,23262744+0838376,351.614341,+8.643790,0.080,0.070,0,6.001,5.712,5.651,0.020,0.033,0.017,AAA,111,0,2451716.9188
1.161713,9.8408578,21.2504744,58,1193-2072-1,*,HD 3651 b,,1.55,0.0,1.3E-7,378.62,,,,,,0,Simbad,9.84086,21.25047,00392187+2115024,9.841134,+21.250669,0.190,0.160,90,4.549,4.064,3.999,0.206,0.240,0.036,CDE,331,0,2450726.7416
0.334841,11.1716675,20.4489269,59,1194-26-1,*,HD 4203 b,78.95,1.05,0.0,9.1E-9,83.64,1.42,,1.25,,2.23,1,Simbad,11.17167,20.44893,00444118+2026563,11.171586,+20.448980,0.110,0.070,90,7.389,7.115,7.047,0.023,0.021,0.029,AAA,111,0,2450726.7903
0.099671,15.1383017,20.2924869,60,1195-588-1,*,HD 5891 b,272.48,0.81,0.0,2.1E-8,181.65,10.64,,1.93,,7.63,1,Simbad,15.1383,20.29249,01003319+2017330,15.138322,+20.292507,0.090,0.060,90,6.239,5.725,5.621,0.018,0.023,0.016,AAA,111,0,2450732.7209
0.065651,26.2326036,20.0831494,61,1211-1730-1,*,HD 10697 b,,2.61,0.0,8.3E-8,250.51,,,,,,0,Simbad,26.2326,20.08315,01445582+2004592,26.232614,+20.083134,0.080,0.080,90,5.386,4.678,4.601,0.268,0.031,0.021,DEA,311,0,2451483.8051
0.126059,47.8092919,21.0973594,62,1231-1727-1,*,HIP 14810 b,50.77,2.9,0.0,1.1E-8,95.01,1.04,,0.81,,3.38,1,Simbad,47.80929,21.09736,03111423+2105504,47.809327,+21.097347,0.070,0.060,90,7.202,6.964,6.828,0.023,0.038,0.021,AAA,111,0,2451088.8678
0.193449,53.6509567,20.5992411,63,1242-608-1,*,BD+20 594 b,173.13,0.33,0.11,1.2E-9,28.89,1.08,1.89,1.67,0.23,0.07,1,Simbad,53.65096,20.59924,03343623+2035574,53.650978,+20.599291,0.060,0.060,90,9.770,9.432,9.368,0.022,0.022,0.018,AAA,222,0,2450748.9109
0.107746,61.7551069,15.3350297,64,1250-4-1,*,HD 285507 b,44.7,0.75,0.0,2.8E-9,72.02,0.69,,0.82,,0.98,1,Simbad,61.75511,15.33503,04070122+1520062,61.755117,+15.335058,0.080,0.060,0,8.365,7.811,7.665,0.026,0.049,0.026,AAA,111,0,2451874.9012
0.059726,57.5956989,17.4763689,65,1252-844-1,*,HD 24040 b,45.84,2.28,0.0,2.6E-8,131.83,1.3,,1.11,,3.86,1,Simbad,57.5957,17.47637,03502296+1728349,57.595687,+17.476381,0.070,0.060,0,6.279,6.038,5.969,0.027,0.042,0.020,AAA,111,0,2451483.7558
0.278263,67.1541617,19.1804292,66,1273-1104-1,*,epsilon Tau b,,2.14,0.0,1.2E-6,1252.55,,,,,,0,Simbad,67.15416,19.18043,04283697+1910494,67.154083,+19.180408,0.290,0.290,90,1.748,1.314,1.422,0.284,0.226,0.254,DDD,333,0,2450752.9312
0.960225,70.7323956,18.9581664,67,1275-2034-1,*,GJ 176 b,9.41,2.15,0.0,1.3E-8,227.65,0.46,,0.24,,,0,Simbad,70.7324,18.95817,04425581+1857285,70.732543,+18.957939,0.060,0.060,90,6.462,5.824,5.607,0.024,0.033,0.034,AAA,111,0,2451815.0006
0.746749,84.2603589,20.7307881,68,1310-2544-1,*,HD 37124 b,,3.15,0.0,2.4E-8,138.72,,,,,,0,Simbad,84.26036,20.73079,05370249+2043515,84.260405,+20.730991,0.070,0.060,0,6.359,6.021,5.952,0.020,0.024,0.016,AAA,111,0,2450759.8894
0.036808,127.5787833,22.2359203,69,1391-121-1,*,K2-34 b,305.23,1.4,0.0,6.5E-10,18.54,1.22,0.5,0.64,1.07,1.11,1,Simbad,127.57878,22.23592,08301891+2214092,127.578792,+22.235914,0.070,0.060,0,10.528,10.258,10.193,0.025,0.022,0.017,AAA,222,0,2451115.9774
0.115360,130.4325656,20.2268764,70,1398-321-1,*,Pr 201 b,177.46,0.36,0.03,1.8E-9,30.19,1.15,,1.24,,0.54,1,Simbad,130.43257,20.22688,08414382+2013368,130.432596,+20.226891,0.080,0.080,90,9.463,9.227,9.142,0.023,0.020,0.018,AAA,222,0,2451106.0157
0.147036,140.9461969,20.3644536,71,1408-143-1,*,HD 81040 b,34.31,1.11,0.0,2.2E-8,123.56,0.91,,1.05,,7.27,1,Simbad,140.9462,20.36445,09234707+2021520,140.946157,+20.364470,0.070,0.060,0,6.505,6.268,6.159,0.019,0.031,0.021,AAA,111,0,2451878.9812
0.047767,154.2778089,19.5584636,72,1422-614-1,*,TYC 1422-614-1 b,,2.26,0.0,3.1E-9,66.38,,,,,,0,Simbad,154.27781,19.55846,10170667+1933304,154.277798,+19.558472,0.080,0.060,0,8.347,7.850,7.728,0.023,0.023,0.031,AAA,111,0,2450839.8850
0.142647,154.1869458,19.8913881,73,1422-790-1,*,BD +20 2457 b,2519.91,5.45,0.0,7.5E-9,131.13,71.02,,10.83,,55.59,1,Simbad,154.18695,19.89139,10164485+1953290,154.186910,+19.891409,0.080,0.060,0,7.299,6.606,6.420,0.023,0.021,0.021,AAA,111,0,2450839.8784
0.520145,152.5319856,18.1868686,74,1422-1130-1,*,HD 88133 b,74.04,3.06,0.0,1.8E-8,126.29,2.01,,1.23,,0.3,1,Simbad,152.53199,18.18687,10100767+1811132,152.531967,+18.187012,0.110,0.090,90,6.599,6.296,6.199,0.018,0.029,0.017,AAA,111,0,2450838.9299
0.077279,173.7656381,20.4415456,75,1440-2597-1,*,HD 100655 b,135.94,1.73,0.03,9.0E-8,344.22,10.06,,2.28,,1.61,1,Simbad,173.76564,20.44155,11350375+2026295,173.765661,+20.441545,0.190,0.140,90,5.039,4.470,4.129,0.194,0.202,0.024,CCE,331,0,2451260.7271
0.432048,185.1792772,17.7928703,76,1445-2560-1,*,11 Com b,,5.16,0.0,4.1E-7,748.85,,,,,,0,Simbad,185.17928,17.79287,12204305+1747341,185.179397,+17.792833,0.300,0.290,0,2.943,2.484,2.282,0.334,0.268,0.346,DDD,333,0,2450935.6811
0.108171,187.5829569,21.9482442,77,1447-2345-1,*,HD 108863 b,170.93,1.06,0.07,2.9E-8,195.72,7.19,,2.17,,2.84,1,Simbad,187.58296,21.94824,12301991+2156537,187.582978,+21.948267,0.120,0.060,90,6.022,5.516,5.392,0.037,0.031,0.023,AAA,111,0,2451518.0485
1.233693,198.0822617,17.5171261,78,1454-315-1,*,HD 114762 b,38.64,1.56,0.0,3.3E-8,144.82,1.2,,0.8,,10.69,1,Simbad,198.08226,17.51713,13121982+1731016,198.082621,+17.517120,0.180,0.110,0,6.145,5.888,5.813,0.026,0.017,0.024,AAA,111,0,2450837.9812
0.969367,206.8155958,17.4568944,79,1460-132-1,*,tau Boo b,,1.58,0.0,4.0E-7,414.46,,,,,,0,Simbad,206.8156,17.45689,13471581+1727249,206.815875,+17.456934,0.300,0.290,0,3.617,3.546,3.507,0.284,0.242,0.348,DDD,333,0,2450935.7366
0.103878,223.3459514,18.2354075,80,1481-485-1,*,HD 131496 b,137.84,3.21,0.03,2.7E-8,186.84,5.54,,1.62,,2.24,1,Simbad,223.34595,18.23541,14532303+1814074,223.345981,+18.235401,0.120,0.070,0,6.032,5.546,5.437,0.021,0.044,0.018,AAA,111,0,2451673.8251
0.041020,218.2764892,21.8947153,81,1482-882-1,*,WASP-14 b,171.05,0.93,0.01,3.4E-9,38.1,1.4,0.83,1.62,1.38,8.84,1,Simbad,218.27649,21.89472,14330635+2153409,218.276477,+21.894714,0.080,0.070,90,8.869,8.650,8.621,0.021,0.019,0.019,AAA,222,0,2450608.7572
0.242643,238.2345006,15.4307053,82,1496-1841-1,*,HD 142245 b,99.83,4.22,0.04,3.7E-8,215.88,4.63,,3.5,,3.07,1,Simbad,238.2345,15.43071,15525629+1525507,238.234550,+15.430753,0.080,0.080,90,5.689,5.232,5.110,0.018,0.016,0.031,AAA,111,0,2450867.9698
0.032941,293.0173369,16.4742897,83,1601-1129-1,*,HD 231701 b,110.04,0.56,0.02,7.0E-9,60.23,1.42,,1.52,,1.31,1,Simbad,293.01734,16.47429,19320415+1628274,293.017328,+16.474293,0.060,0.060,90,7.952,7.719,7.657,0.021,0.020,0.026,AAA,111,0,2451080.6043
